"centrale_serial";"lecteur_serial"
"1101-2506000905";"22465200002400002b00002508000273"
"1101-2506000464";"22465200002400002b00002508000271"
"1101-2506000063";"22465200002400002b00002508000416"
"1101-2506000730";"22465200002400002b00002508000279"
"1101-2506000231";"22465200002400002b00002508000276"
"1101-2506000143";"22465200002400002b00002508000278"
"1101-2506000440";"22465200002400002b00002508000275"
"1101-2506000495";"22465200002400002b00002508000420"
"1101-2506000981";"22465200002400002b00002508000322"
"1101-2506000920";"22465200002400002b00002508000418"
"1101-2506000481";"22465200002400002b00002508000410"
"1101-2506000965";"22465200002400002b00002508000323"
"1101-2506000461";"22465200002400002b00002508000414"
"1101-2506000433";"22465200002400002b00002508000324"
"1101-2506000340";"22465200002400002b00002508000408"
"1101-2506000357";"22465200002400002b00002508000428"
"1101-2506000629";"22465200002400002b00002508000409"
"1101-2506000637";"22465200002400002b00002508000747"
"1101-2524001192";"22465200002400002b00002508000694"
"1101-2506000882";"22465200002400002b00002508000697"
"1101-2506000476";"22465200002400002b00002508000770"
"1101-2506000271";"22465200002400002b00002508000753"
"1101-2506000686";"22465200002400002b00002508000696"
"1101-2506000124";"22465200002400002b00002508000746"
"1101-2506000880";"22465200002400002b00002508000777"
"1101-2506000832";"22465200002400002b00002508000757"
"1101-2506000321";"22465200002400002b00002508000769"
"1101-2506000158";"22465200002400002b00002508000741"
"1101-2506000983";"22465200002400002b00002508000773"
"1101-2506000877";"22465200002400002b00002508000759"
"1101-2506000331";"22465200002400002b00002508000762"
"1101-2548000381";"22465200002400002b00002508000768"
"1101-2625000728";"22465200002400002b00002508000754"
"1101-2506000800";"22465200002400002b00002508000750"
"1101-2524001372";"22465200002400002b00002508000708"
"1101-2524000472";"22465200002400002b00002508000763"
"1101-2524001281";"22465200002400002b00002508000780"
"1101-2506000299";"22465200002400002b00002508000743"
"1101-2506000613";"22465200002400002b00002508000735"
"1101-2506000287";"22465200002400002b00002508000739"
"1101-2523000145";"22465200002400002b00002508000733"
"1101-2506000366";"22465200002400002b00002508000749"
"1101-2506000506";"22465200002400002b00002508000707"
"1101-2506000221";"22465200002400002b00002508000745"
"1101-2625000909";"22465200002400002b00002508000737"
"1101-2506000276";"22465200002400002b00002508000764"
"1101-2524001234";"22465200002400002b00002508000953"
"1101-2524001528";"22465200002400002b00002508000924"
"1101-2506000080";"22465200002400002b00002508000926"
"1101-2506000972";"22465200002400002b00002508000928"
"1101-2524000404";"22465200002400002b00002508000922"
"1101-2506000337";"22465200002400002b00002508000932"
"1101-2506000311";"22465200002400002b00002508000925"
"1101-2506000416";"22465200002400002b00002508000936"
"1101-2506000940";"22465200002400002b00002508000916"
"1101-2506000772";"22465200002400002b00002508000919"
"1101-2625000930";"22465200002400002b00002508000929"
"1101-2506000936";"22465200002400002b00002508000913"
"1101-2506000430";"22465200002400002b00002508000917"
"1101-2522000802";"22465200002400002b00002508000933"
"1101-2506000451";"22465200002400002b00002508000918"
"1101-2506000126";"22465200002400002b00002508000944"
"1101-2506000075";"22465200002400002b00002508000907"
"1101-2524000888";"22465200002400002b00002508000942"
"1101-2537002054";"22465200002400002b00002508000945"
"1101-2506000078";"22465200002400002b00002508000893"
"1101-2524001199";"22465200002400002b00002508000912"
"1101-2506000084";"22465200002400002b00002508000911"
"1101-2506000519";"22465200002400002b00002508000914"
"1101-2506000090";"22465200002400002b00002508000451"
"1101-2506000847";"22465200002400002b00002508000957"
"1101-2625000466";"22465200002400002b00002508000455"
"1101-2522000912";"22465200002400002b00002508000940"
"1101-2506000028";"22465200002400002b00002508000961"
"1101-2506000322";"22465200002400002b00002508000956"
"1101-2506001005";"22465200002400002b00002508000083"
"1101-2506000919";"22465200002400002b00002508000064"
"1101-2506000318";"22465200002400002b00002508000101"
"1101-2506000643";"22465200002400002b00002508000895"
"1101-2625000211";"22465200002400002b00002508000084"
"1101-2506000254";"22465200002400002b00002508000962"
"1101-2506000696";"22465200002400002b00002508000095"
"1101-2522000820";"22465200002400002b00002508000452"
"1101-2506000893";"22465200002400002b00002508000076"
"1101-2522000858";"22465200002400002b00002508000094"
"1101-2506000502";"22465200002400002b00002508000100"
"1001-2514000046";"22465200002400002b00002508000959"
"1101-2625000467";"22465200002400002b00002508000102"
"1101-2506000334";"22465200002400002b00002508000078"
"1101-2506000634";"22465200002400002b00002508000087"
"1101-2506000509";"22465200002400002b00002508000072"
"1101-2506000778";"22465200002400002b00002508000075"
"1101-2506000998";"22465200002400002b00002508000086"
"1101-2506000482";"22465200002400002b00002508000082"
"1101-2506000678";"22465200002400002b00002508000088"
"1101-2506000930";"22465200002400002b00002508000067"
"1101-2506000633";"22465200002400002b00002508000099"
"1101-2506000497";"22465200002400002b00002508000073"
"1101-2506000540";"22465200002400002b00002508000040"
"1101-2506000620";"22465200002400002b00002508000017"
"1101-2625000498";"22465200002400002b00002508000045"
"1101-2625001036";"22465200002400002b00002508000024"
"1101-2506000890";"22465200002400002b00002508000008"
"1101-2506000131";"22465200002400002b00002508000020"
"1101-2506000503";"22465200002400002b00002508000023"
"1101-2506000906";"22465200002400002b00002508000010"
"1101-2506000608";"22465200002400002b00002508000044"
"1101-2524000464";"22465200002400002b00002508000039"
"1101-2506000995";"22465200002400002b00002508000032"
"1101-2506000617";"22465200002400002b00002508000054"
"1101-2506000515";"22465200002400002b00002508000049"
"1101-2506001007";"22465200002400002b00002508000092"
"1101-2613100161";"22465200002400002b00002508000001"
"1101-2506000504";"22465200002400002b00002508000025"
"1101-2625000456";"22465200002400002b00002508000029"
"1101-2506000887";"22465200002400002b00002508000034"
"1101-2506000085";"22465200002400002b00002508000011"
"1101-2506000761";"22465200002400002b00002508000030"
"1101-2506000780";"22465200002400002b00002508000013"
"1101-2506001010";"22465200002400002b00002508000036"
"1101-2524001598";"22465200002400002b00002508000019"
"1101-2506000757";"22465200002400002b00002508000042"
"1101-2506000341";"22465200002400002b00002508000021"
"1101-2625000480";"22465200002400002b00002508000090"
"1101-2506000316";"22465200002400002b00002508000035"
"1101-2506000294";"22465200002400002b00002508000381"
"1101-2506000528";"22465200002400002b00002508000439"
"1101-2506000541";"22465200002400002b00002508000648"
"1101-2506000958";"22465200002400002b00002508000038"
"1101-2506000385";"22465200002400002b00002508000473"
"1101-2506000389";"22465200002400002b00002508000260"
"1101-2506000635";"22465200002400002b00002508000712"
"1101-2506000674";"22465200002400002b00002508000340"
"1101-2506000904";"22465200002400002b00002508000085"
"1101-2506000329";"22465200002400002b00002508000098"
"1101-2506000715";"22465200002400002b00002508000178"
"1101-2506000825";"22465200002400002b00002508000589"
"1101-2506000892";"22465200002400002b00002508000148"
"1101-2506000103";"22465200002400002b00002508000176"
"1101-2506000336";"22465200002400002b00002508000174"
"1101-2506000420";"22465200002400002b00002508000362"
"1101-2532001223";"22465200002400002b00002508000431"
"1101-2506000215";"22465200002400002b00002508000756"
"1101-2506000367";"22465200002400002b00002508000306"
"1101-2506000186";"22465200002400002b00002508000259"
"1101-2506000781";"22465200002400002b00002508000304"
"1101-2506000267";"22465200002400002b00002508000601"
"1101-2532001579";"22465200002400002b00002508000298"
"1101-2506000304";"22465200002400002b00002508000033"
"1101-2506000626";"22465200002400002b00002508000248"
"1101-2522000836";"22465200002400002b00002524000059"
"1101-2522000829";"22465200002400002b00002524000053"
"1101-2522000864";"22465200002400002b00002524000063"
"1101-2506000609";"22465200002400002b00002524000058"
"1101-2522000983";"22465200002400002b00002524000080"
"1101-2524001141";"22465200002400002b00002524000933"
"1101-2524001401";"22465200002400002b00002524000929"
"1101-2625001181";"22465200002400002b00002524000890"
"1101-2522000813";"22465200002400002b00002524000883"
"1101-2506001008";"22465200002400002b00002524000893"
"1101-2524001104";"22465200002400002b00002524000945"
"1101-2506000428";"22465200002400002b00002524000910"
"1101-2506000816";"22465200002400002b00002524000899"
"1101-2506000333";"22465200002400002b00002524000943"
"1101-2506000922";"22465200002400002b00002524000903"
"1101-2532001046";"22465200002400002b00002524000912"
"1101-2506000011";"22465200002400002b00002524000079"
"1101-2524000418";"22465200002400002b00002524000919"
"1101-2524000353";"22465200002400002b00002524000957"
"1101-2522000951";"22465200002400002b00002524000885"
"1101-2522000724";"22465200002400002b00002524000900"
"1101-2522000803";"22465200002400002b00002524000049"
"1101-2522000954";"22465200002400002b00002524000987"
"1101-2506001002";"22465200002400002b00002524000932"
"1101-2522000723";"22465200002400002b00002524000055"
"1101-2523000149";"22465200002400002b00002524000078"
"1101-2506000208";"22465200002400002b00002524000034"
"1101-2506000092";"22465200002400002b00002524000060"
"1101-2537001829";"22465200002400002b00002524000009"
"1101-2506000134";"22465200002400002b00002524000032"
"1101-2506000429";"22465200002400002b00002524000112"
"1101-2506000235";"22465200002400002b00002524000085"
"1101-2506000578";"22465200002400002b00002524000038"
